iter	RMSE
0	2.373124998
1	2.371117845
2	2.369091078
3	2.367039281
4	2.365002377
5	2.363020739
6	2.360963645
7	2.358912373
8	2.356930854
9	2.354952495
10	2.352945684
11	2.350923049
12	2.348879268
13	2.346845641
14	2.344840246
15	2.342797596
16	2.340810011
17	2.338792148
18	2.336773143
19	2.334751357
20	2.332749508
21	2.33079527
22	2.328859846
23	2.326906283
24	2.324878995
25	2.322868449
26	2.320873979
27	2.318899827
28	2.316932446
29	2.31494414
30	2.313003528
31	2.311072127
32	2.309111175
33	2.307141418
34	2.305193981
35	2.30323124
36	2.301260538
37	2.299271371
38	2.297363096
39	2.295428352
40	2.293498699
41	2.291572276
42	2.289636844
43	2.287713302
44	2.285731253
45	2.283765647
46	2.281822907
47	2.279896302
48	2.277948765
49	2.276035299
50	2.274100169
51	2.272175373
52	2.270296243
53	2.268382076
54	2.266475952
55	2.26454566
56	2.262637185
57	2.260722365
58	2.258781001
59	2.256863209
60	2.254942325
61	2.253041812
62	2.251117278
63	2.249211251
64	2.247348307
65	2.245439954
66	2.243672156
67	2.241798436
68	2.239918655
69	2.238026611
70	2.236167388
71	2.234334403
72	2.232442125
73	2.230541201
74	2.22862673
75	2.226738859
76	2.224908363
77	2.223034581
78	2.221154392
79	2.219260518
80	2.217409669
81	2.215597434
82	2.213697946
83	2.211868625
84	2.210046533
85	2.208178187
86	2.206331712
87	2.204465303
88	2.202605656
89	2.20075054
90	2.198867368
91	2.197063819
92	2.195233398
93	2.193401603
94	2.191561917
95	2.189720774
96	2.18788309
97	2.186065606
98	2.184264246
99	2.182488458
100	2.18066188
101	2.178814225
102	2.176998301
103	2.175189854
104	2.173406688
105	2.171578556
106	2.1697582
107	2.167973913
108	2.166187432
109	2.164395267
110	2.162564137
111	2.16072256
112	2.158931216
113	2.15712887
114	2.155318411
115	2.153490402
116	2.151731575
117	2.14995178
118	2.148145829
119	2.146355127
120	2.144605232
121	2.142804641
122	2.140988837
123	2.139226236
124	2.137434896
125	2.135672098
126	2.133886618
127	2.132102026
128	2.130362982
129	2.128594163
130	2.126811523
131	2.125026642
132	2.123261096
133	2.121517222
134	2.119749961
135	2.117999657
136	2.116216146
137	2.114455326
138	2.112706114
139	2.110969499
140	2.109208487
141	2.107465996
142	2.105724076
143	2.103967677
144	2.102193368
145	2.100422217
146	2.098668239
147	2.096938883
148	2.095217809
149	2.093494562
150	2.091769441
151	2.090044839
152	2.088321977
153	2.086572542
154	2.084860343
155	2.08316027
156	2.081433033
157	2.079757594
158	2.078063965
159	2.07635659
160	2.074657364
161	2.072941112
162	2.071231521
163	2.069525738
164	2.067828366
165	2.066158102
166	2.064435321
167	2.062722521
168	2.060990706
169	2.059313227
170	2.057618089
171	2.055925278
172	2.054299858
173	2.052583998
174	2.050921674
175	2.049231331
176	2.047534361
177	2.045846574
178	2.044187019
179	2.042560067
180	2.040895349
181	2.039220565
182	2.037550925
183	2.035900058
184	2.034216967
185	2.032572694
186	2.030918895
187	2.029215938
188	2.027575323
189	2.025892083
